titulo;imagen;comensales;duracion;dificultad;ingredientes;pasos;nombre_categoria
'Tahdig' (arroz al estilo iraní);https://images.hola.com/imagenes/cocina/recetas/20230316228334/tahdig-arroz-estilo-irani-receta/1-221-165/tahdig-arroz-adob-c.jpg;4 COMENSALES;1h 15min;Medio;['350 g de Arroz basmati', 'Azafrán (6 o 7 hebras)', '4 cs de Yogur griego', '40 g de Mantequilla', '2 cs de Aceite de oliva', 'Sal', 'Azúcar', 'Frutos secos (pistachos, almendras....) y/o frutas secas (arándanos...)'];"['Lavar bien el arroz en un colador. Ponerlo a remojo unos 30 minutos, hasta que salga todo el almidón. Escurrir.', 'Poner agua hirviendo en una olla y cocer el arroz un poquito menos de lo que indica el fabricante. La idea es que el arroz no se cocine del todo. Puedes detener la cocción con agua fría. Escurrirlo.', 'Moler las hebras en un mortero. Poner en un recipiente y añadir una pizca de azúcar y agua (2 o 3 cucharadas) caliente para que el azafrán se disuelva. Si ves que hace falta más agua, puedes sumarle un poco más.', 'Sumar este agua con el azafrán diluido al yogur. Mezcla. Suma una taza del arroz cocido y mezcla de nuevo.', 'Poner al fuego una olla o sartén de bordes altos y añade la mantequilla y el aceite.', ""Extender la mezcla de arroz, yogur y azafrán por todo el fondo de la cazuela, alisando y presionando ligeramente. Sobre esa 'capa' suma el resto del arroz."", 'Bajar el fuego, tapar y cocinar a fuego bajo durante unos 45-50 minutos.', 'Voltear la sartén en un plato o fuente como ‘desmoldando’ un pastel. Lo ideal es que salga entero, debe despegarse en bloque, como una torta dorada.', 'Decora la superficie de con los frutos secos o frutas secas de tu gusto y sirve rápido.', 'Tip: En ocasiones, para que el Tahdig saga de una pieza, se sumerge el recipiente en agua fría durante unos minutos.']";arroces
Ensalada de arroz de col morada con queso feta y uvas;https://images.hola.com/imagenes/cocina/recetas/20230307227679/ensalada-arroz-col-morada-queso-uvas/1-214-837/arrozcolflorette-z.jpg;4 COMENSALES;40min;Fácil;['1 bolsa de Ensalada gourmet', '100 g de Arroz', '300 ml de Caldo de verduras o agua', '0.25 Lombarda', '150 g de Queso feta', '150 g de Uvas moradas', '80 g de Nueces', 'Chips de remolacha', 'Mermelada de moras', 'Aceite de oliva virgen extra', 'Vinagre', 'Sal'];['Pon una cacerola al fuego y saltea la lombarda en tiras con dos cucharadas de aceite hasta que comience a ablandarse.', 'Agrega el arroz y revuelve para que se mezcle bien con la col morada.', 'Añade el caldo de verduras o el agua y cocina durante aproximadamente 20 minutos. Cuando el caldo hierva, coloca la tapa y baja el fuego a medio bajo hasta que el arroz se cocine. Retira y deja enfriar.', 'Echa la ensalada gourmet en un bol o plato y añade el arroz.', 'Corta el queso feta en cubos y añade en la ensalada junto a las uvas lavadas y cortadas previamente por la mitad.', 'Agrega las nueces y unas chips de remolacha.', 'Para el aderezo, tritura con una batidora el aceite de oliva, el vinagre, la sal y la mermelada de moras hasta conseguir una mezcla homogénea.', 'Sirve la ensalada con el aderezo en un bol.'];arroces
Secreto de bellota ibérico con arroz meloso de trigueros;https://images.hola.com/imagenes/cocina/recetas/20230216226539/secreto-iberico-arroz-meloso-trigueros/1-205-25/secreto-trigueros-z.jpg;4 COMENSALES;40min;Fácil;['300 g de Secreto de cerdo ibérico', '400 g de Arroz bomba', '20 g de Ajo', '12 g de Pimentón', '120 g de Tomate rallado', '60 g de Aceite de oliva virgen extra', '60 g de Pimiento rojo', '1 litro de Caldo de cerdo', '16 ud de Espárragos trigueros', 'Sal en escamas', 'Perejil fresco', 'Sal', 'Pimienta'];['Limpiar el secreto, cortar en tiras  y salpimentar.', 'En un perol añadir un poco de aceite de oliva y dorar. Retirar y reservar.', 'Cortar el ajo, el pimiento y los tallos de los espárragos reservando las puntas.', 'En el mismo perol, sofreír el pimiento y los tallos de espárrago, añadir el piment´n y el tomate rallado.', 'Verter el caldo de cerdo caliente y cuando hierva, agregar el arroz bomba.', 'Dejar cocer 16 minutos moviendo de vez en cuando.', 'A falta de 3 minutos de terminar la cocción, añadir las puntas de espárragos y el secreto ibérico.', 'Rectificar de sal y de pimienta y ligar todo con un buen chorro de aceite de oliva virgen extra.', 'Añadir el perejil picado, servir en platos hondos y decorar con unas escamas de sal.'];arroces
Arroz con pollo marinado, mandarina y guisantes;https://images.hola.com/imagenes/cocina/recetas/20230125225208/arroz-pollo-marinado-mandarina-guisantes-/1-194-643/arroz-mandarina-adobe-z.jpg;4 COMENSALES;1h 0min;Fácil;['300 g de Arroz de grano redondo', '200 g de Guisantes congelados', '2 ud de Mandarina', 'Sal', 'Aceite de oliva virgen', '2 ud de Pechuga de pollo', '2 ud de Mandarina', '1 cucharadita de Pimentón', '1 pizca de Comino molido', '1 pizca de Chile en polvo', '1 pizca de Sal', '1 pizca de Pimienta negra', 'Aceite de oliva virgen', 'Cebollino'];"['Lo primero de todo es cortar las pechugas en tiras.', 'Exprime el zumo de 2 de las mandarinas.', 'Pon el pollo en una bandeja, salpimenta, añade el pimentón, el chile en polvo, el zumo de mandarina y un poco de aceite y mezcla todo bien.', 'Tapa con papel film y deja reposar en la nevera durante 30-40 minutos.', 'Llena un cazo con agua, echa sal y pon al fuego para cuando empiece a hervir, echar los guisantes y dejar que cuezan unos 6 minutos. Escurre.', 'Lava bien el arroz hasta que el agua salga blanca -esto es para quitar exceso de almidón-.', 'Llena otra cazuela con más de un litro de agua y sal y ponla al fuego.', 'Cuando rompa a hervir, incorpora el arroz  y remueve bien.', 'Deja cocer por espacio de unos 16 minutos o hasta que veas que está en su punto.', ""Pela las otras dos mandarinas y quita las membranas de cada gajo con el cuchillo -esto es 'pelar a lo vivo'-."", 'Escurre bien el pollo de la marinada y cocínalo a la plancha con un poco de aceite hasta dorarlo.', 'Sirve en cada plato un poco de arroz, unas tiras de pollo, unos guisantes y unos gajos de mandarina.', 'Espolvorea cebollino picadito.']";arroces
Sopa marinera con arroz;https://images.hola.com/imagenes/cocina/recetas/20230119224879/sopa-marinera-con-arroz/1-192-196/sopa-arroz-age-z.jpg;4 COMENSALES;1h 0min;Medio;['0.5 kilogramo de Gambas', '0.5 kilogramo de Merluza + 1 espina', '1.5 unidad de Cebolla', '1 unidad de Puerro', '2 dientes de Ajo', '4 cs de Salsa de tomate', '150 g de Arroz de grano redondo', '1 chorrito de Brandy', 'Aceite de oliva', 'Sal', 'Perejil fresco'];['Pela las gambas y trocea la merluza en dados.', 'En una cazuela echa un chorrito de aceite y rehoga las cabezas y las cáscaras de las gambas. Flambea con el brandy.', 'Añade la espinas de la merluza, una cebolla pelada, cubre con agua y cuece durante 15 minutos.', 'Cuela el caldo y reserva.', 'Pela la otra media cebolla y pica muy finita. Limpia bien el puerro, corta los extremos y pícalo también.', 'Pela los ajos y májalos en un mortero con un poco de perejil.', 'En una cazuela echa un poco de aceite y sofríe la cebolla y el puerro.', 'Añade el tomate y el majado y rehoga un poco más.', 'Incorpora el arroz y el caldo reservado y cocina durante unos 15 minutos.', 'Agrega las gambas y la merluza y deja cocer durante 5 minutos más.', 'Añade perejil picado y ya tienes la sopa lista para servir.'];arroces
Pechugas de pollo con arroz y calabacín con salsa agridulce;https://images.hola.com/imagenes/cocina/recetas/20230104224078/pechugas-pollo-arroz-calabacin-salsa-agridulce/1-186-252/pollo-arroz-adobe-z.jpg;4 COMENSALES;40min;Fácil;['4 ud de Pechuga de pollo', '1 unidad de Calabacín', '400 g de Arroz de grano largo', 'Aceite de oliva', 'Sal', 'Pimienta', 'Brotes', '0.5 unidad de Pimiento rojo', '3 cs de Azúcar blanca', '100 ml de Vinagre de arroz', '2 dientes de Ajo', '1 cucharada de Salsa de soja', 'Agua'];"['Lavamos, secamos y picamos el pimiento rojo en trocitos; pelamos y picamos los ajos.', 'Echamos un poco de aceite en una sartén y pochamos el pimiento y el ajo.', 'Agregamos el azúcar, el vinagre, la salsa de soja y un chorrito de agua.', 'Cocinamos unos minutos y retiramos del fuego.', 'Echamos un poco de aceite en un cazo y lo ponemos al fuego.', 'Incorporamos el arroz de grano largo, sal y rehogamos un minuto.', 'Añadimos un poco menos del doble de agua que de arroz.', 'Dejamos hervir, bajamos el fuego, tapamos y dejamos cocer unos 15 minutos.', 'Lavamos, secamos y cortamos el calabacín en rodajas.', 'Lo cocinamos vuelta y vuelta en una sartén con un poco de aceite.', 'Aplastamos las pechugas de pollo con un espalmador.', 'Las salpimentamos y las cocinamos por ambos lados a la plancha o a la parrilla.', 'Servimos en cada plato un poco de arroz; encima ponemos las pechugas de pollo y las rodajas de calabacín.', 'Cubrimos con la salsa agridulce y decoramos con unos brotes.']";arroces
Arroz caldoso de marisco;https://images.hola.com/imagenes/cocina/recetas/20221124221582/arroz-caldoso-marisco-alcachofas/1-169-191/arroz-caldos-mariscoage-c.jpg;4 COMENSALES;1h 40min;Medio;['200 g de Arroz redondo', '250 g de Almejas', '250 g de Chipirones', '12 Langostinos', '4 Vieiras congeladas', '1 Cebolla', '1 Ajo', '1 Zanahoria', '4 Alcachofas', '150 g de Habas', '1 cucharada de Tomate concentrado', '1 litro de Caldo de pescado', '2 cs de Aceite de oliva', 'Sal', 'Sal gorda', 'Pimienta'];['Descongelar las vieiras.', 'Poner las almejas en un cuenco con sal gorda y cubrirlas con agua fría 30 minutos.', 'Retirar las cáscaras de los langostinos y reservar los cuerpos.', 'llevar a ebullición el caldo en una cazuela y mantener caliente.', 'Limpiar los chipirones y trocearlos.', 'Pelar y picar la cebolla y el ajo.', 'Pelar la zanahoria, retirar las puntas y cortarlas en daditos.', 'Desechar las hojas externas y las puntas de las hojas y de los tallos de las alcachofas y cortarlas por la mitad a lo largo.', 'Abrir las vainas de las habas y reservar los granos.', 'Calentar el aceite en una cazuela y dorar a fuego vivo 1 minutos las vieiras, los chipirones troceados y los langostinos. Retirarlos y reservarlos.', 'Añadir a la cazuela las medias alcachofas y sofreírlas 2 minutos por cada lado.', 'Agregar la cebolla y el ajo picados y los daditos de zanahoria, salpimentar y sofreír 4 minutos.', 'Incorporar el arroz, rehogar 1 minuto removiendo con una cuchara de madera y bañar con el caldo caliente.', 'Echar el tomate concentrado, llevar a ebullición y cocer 14 minutos a fuego medio-alto.', 'Añadir las alcachofas, las vieiras, los chipirones troceados, las habas y las almejas escurridas de su agua, bajar el fuego al mínimo hervor y cocinar 4 minutos más.', 'Colocar encima los langostinos y retirar del fuego.', 'Emplatar el arroz con el marisco y servir mientras aún se mantiene caliente.'];arroces
Arroz frito tailandés con gambas (khao pad);https://images.hola.com/imagenes/cocina/recetas/20221025219752/arroz-frito-tailandes/1-156-502/kaopad-age-z.jpg;4 COMENSALES;20min;Fácil;['300 g de Arroz cocido', '150 g de Gambas', '2 dientes de Ajo', '1 unidad de Zanahoria', '2 ud de Chalota', '1 unidad de Huevo', '1 unidad de Chile verde', '1 unidad de Chile rojo', '0.5 cucharada de Salsa de ostras', '0.5 cucharada de Salsa de soja', '1 pizca de Azúcar moreno', 'Aceite vegetal', 'Lima'];['Pela y corta en tiras muy finas la zanahoria.', 'Pela y pica finitos el ajo y las chalotas. Corta en aros los dos chiles.', 'Pela las gambas dejando la cola.', 'En una sartén o wok, calienta el aceite vegetal, añade el ajo, la chalota y la zanahoria y saltea unos minutos.', 'Añade las gambas, da un par de vueltas, añade el huevo y remueve.', 'Echa el arroz cocido, la salsa de ostras, la salsa de soja y la pizca de azúcar y mezcla bien.', 'Sirve el arroz frito con las rodajas de chile por encima y rodajas de lima.'];arroces
Arroz caldoso de verduras con gremolata de queso feta y menta;https://images.hola.com/imagenes/cocina/recetas/20221019219394/arroz-caldoso-verduras/1-154-229/arroz-caldoso-verdur-age-c.jpg;4 COMENSALES;30min;Fácil;['150 g de Arroz largo', '1 Cebolla', '1 Calabacín pequeño', '1 Pimiento rojo', '800 ml de Caldo de verduras', '2 cs de Aceite de oliva', 'Sal', 'Pimienta', '100 g de Queso feta', '1 Ajo', '2 cs de Menta picada', '1 cucharada de Tomillo hojitas'];['Pelar y picar la cebolla.', 'Retirar el tallo y las semillas al pimiento y cortarlo en cuadraditos.', 'Lavar el calabacín, desechar las puntas y cortarlo de igual tamaño y forma.', 'Calentar el aceite en una cazuela y sofreír la cebolla 5 minutos.', 'Agregar los daditos de pimiento y calabacín, salpimentar y cocinar 7 minutos más.', 'Incorporar el arroz, rehogar 30 segundos, cubrir con el caldo, llevar a ebullición y cocer 15 min a fuego bajo.', 'Pelar y picar el ajo.', 'Desmenuzar el queso feta en trozos muy pequeños y mezclarlos en un cuenco con el ajo y la menta picados y las hojitas de tomillo.', 'Servir la sopa en cuencos individuales y acompañar con 1 cucharada de la gremolata.'];arroces
Arroz con frijoles;https://images.hola.com/imagenes/cocina/recetas/20221003218357/arroz-con-frijoles/1-146-819/arroz-frijoles-adobe-c.jpg;4 COMENSALES;1h 25min;Fácil;['400 g de Arroz de grano redondo', '250 g de Frijoles negros puestos en remojo la noche anterior', '1 unidad de Cebolla', '2 dientes de Ajo', '1 unidad de Tomate maduro', '0.5 unidad de Pimiento rojo', '1 hoja de Laurel', 'Comino', 'Pimentón', 'Orégano', 'Sal', 'Vinagre', 'Azúcar blanca', 'Aceite de oliva'];['Pela y pica la cebolla, los ajos y el tomate.', 'Lava, seca y pica el pimiento rojo.', 'Echa en una cazuela 1 litro de agua y añade la mitad del pimiento, la mitad de la cebolla, la mitad de los ajos, la hoja de laurel y los frijoles escurridos -y puestos en remojo la noche anterior-.', 'Tapa la cazuela y cocina los frijoles a fuego medio durante unos 35 minutos.', 'Para hacer el sofrito pon aceite en otra olla y pocha primero la cebolla, luego el pimiento, el ajo y el tomate.', 'Agrega sal, comino, pimentón y orégano y da unas vueltas durante 1 minuto.', 'Añade el sofrito a los frijoles junto con la sal, vuelve a tapar la cazuela y deja que hierva 25 minutos más.', 'Echa una pizca de azúcar y otra de vinagre y mezcla bien.', 'Cuela el caldo de cocinar los frijoles, échalo en otra cazuela y añade el arroz para cocerlo hasta que esté en su punto.', 'Una vez cocido el arroz, incorpora los frijoles cocidos con el resto de verduras.', 'Da unas vueltas y ya tienes listo el plato para servirlo.', 'Hay otra forma de hacerlo que es cocer el arroz con agua limpia y, una vez cocido, mezclarlo con los frijoles, pero a nosotros nos parece que tiene más sabor como te indicamos en la receta.'];arroces
