titulo;imagen;comensales;duracion;dificultad;ingredientes;pasos;nombre_categoria
Sándwich de tortitas de patata morada con pavo, mozzarella y brotes tiernos;https://images.hola.com/imagenes/cocina/recetas/20230307227696/sandwich-tortitas-patata-morada/1-214-973/papawich-florette-z.jpg;2 COMENSALES;45min;Fácil;['200 g de Harina (a elegir)', '1 cucharadita de Levadura en polvo', '2 ud de Patatas moradas', '100 g de Yogur griego', '1 unidad de Huevo', '250 g de Leche o bebida vegetal', '2 cs de Edulcorante al gusto', 'Aceite de oliva', 'Sal', 'Pipas de calabaza', 'Pipas de girasol', 'Semillas de sésamo', '200 g de Garbanzos cocidos', '50 g de Remolacha cocida', '1 cucharadita de Pasta tahini', '1 chorrito de Zumo de limón', 'Ajo opcional', 'Aceite de oliva virgen extra', 'Sal', '200 g de Pechuga de pavo en lonchas', '125 g de Queso mozzarella'];"['Mezcla los ingredientes secos para la masa de las tortitas; polvo para hornear, harina, las semillas y la sal, reserva.', 'Cuece las patatas moradas en una olla hasta que estén blandas -pínchalas para comprobarlo-. Una vez que se enfríen, añádelas previamente peladas en un bol y aplástalas con un tenedor.', 'Incorpora a las patatas el huevo, el yogur, la leche y el endulzante. Una vez que estén bien mezclados, añade los ingredientes secos y remueve bien para lograr una mezcla homogénea.', 'Con ayuda de una cuchara, vierte esta masa a una sartén amplia caliente untada con aceite de oliva.', 'Cocina las tortitas hasta que se doren ligeramente en la superficie y dales la vuelta.', 'Tritura los garbanzos cocidos con la remolacha y añade aceite de oliva, zumo de limón, tahini, sal y, si te gusta, también un poco de ajo.', 'Sirve las tortitas en un plato, de dos en dos, y rellénalas con hummus de remolacha, lonchas de pavo, rodajas de mozzarella y unos brotes de lechugas tiernas.', 'Espolvorea unas pipas de girasol y otras de calabaza y unas semillas de sésamo, todas previamente tostadas en una sartén al fuego.']";aves
Confit de pato con mandarinas y granada;https://images.hola.com/imagenes/cocina/recetas/20230123225094/confit-pato-mandarinas-granada/1-193-678/confit-age-z.jpg;4 COMENSALES;1h 0min;Fácil;['4 Confit de pato', '4 Chalotas', '40 g de Azúcar blanca', '8 Mandarinas', '80 ml de Cointreau', '20 g de Mantequilla', 'Granada', '1 Clavo', 'Sal', 'Pimienta negra', '8 ramas de Bimi'];['Para hacer este confit de pato con mandarinas y granada comenzaremos por la salsa. Para ello, saca el zumo de 6 mandarinas y reserva las otras dos.', 'Acerca un cazo al fuego con el azúcar y el zumo de mandarina. Remueve hasta que comience a disolverse el azúcar. Añade el Cointreau y el clavo de olor y sigue cocinando, sin parar de remover. Salpimienta al gusto y deja reducir hasta que la salsa adquiera consistencia. Reserva.', 'Pela las dos mandarinas que habías reservado, retirando también todos los hilitos blancos que tenga. Saca los gajos y saltéalos en la mantequilla durante 3 o 4 minutos, a fuego vivo. Reserva aparte.', 'Pela la granada y saca todas sus semillas, con cuidado de no dejar ninguna telilla blanca ni rabitos en los granos. Reserva.', 'Coloca los confits de pato con toda su grasa en una fuente apta para el horno. Coloca los tallos de bimi alrededor. Mete en el horno, que ya debe estar precalentado a 200°C y cocina durante 15 minutos.', 'Para emplatar, coloca en el fondo del plato un poco de salsa de mandarina y Cointreau. Añade unos gajos de mandarina y coloca encima el magret de pato. Adorna con una o dos ramas de bimi a un lado y los granos de granada por encima. ¡Sirve inmediatamente!'];aves
Wok de pato con verduras y orzo;https://images.hola.com/imagenes/cocina/recetas/20230116224673/wok-pato-verduras-orzo/1-190-759/wok-pato-age-c.jpg;4 COMENSALES;30min;Fácil;['2 Pechugas de pato', '1 Pimiento amarillo', '0.5 Pimiento rojo', '1 Cebolleta', '100 g de Tirabeques', '150 g de Brotes tiernos de bambú', '100 g de Orzo (pasta con forma de granos de arroz)', '2 cs de Aceite de oliva', 'Sal', 'Pimienta'];['Cortar las pechugas en filetitos.', 'Retirar los tallos y las semillas a los pimientos y cortarlos en tiras.', 'Pelar la cebolleta y trocearla.', 'Lavar y secar los tirabeques.', 'Cocer el orzo en una cazuela con abundante agua salada durante 1 minuto menos del tiempo indicado por el fabricante. Escurrirlo y reservarlo.', 'Calentar el aceite en un wok, o en una sartén grande, y saltear los filetitos de pato unos 2 minutos.', 'Añadir la cebolleta troceada, las tiras de pimiento, los brotes de bambú y los tirabeques, salpimentar y saltear 3 minutos.', 'Incorporar el orzo, mezclar, cocinar 1 minuto más y retirar del fuego.', 'Servir en los platos el pato con el resto de los ingredientes y decorar con el cilantro.'];aves
Pechugas de pavo con salsa de nueces y Oporto;https://images.hola.com/imagenes/cocina/recetas/20221214222818/pechugas-pavo-salsa-oporto/1-177-545/pechugas-pavo-nueces-c.jpg;5 PORCIONES;1h 0min;Medio;['5 filetes de Pechuga de pavo', '5 lonchas de Panceta estiradas con el dorso del cuchillo', 'Laurel frescas', '2 cs de Aceite de oliva virgen extra', '75 ml de Vino de Jerez (manzanilla o amontillado)', '250 ml de Caldo de pollo', '200 g de Carne picada de pavo', '80 g de Nueces picadas', '1 Cebolla morada muy picada', '4 Ciruelas pasas picadas', '4 Orejones picados', '10 g de Trufa negra en conserva picada', '1 pizca de Nuez moscada', '1 chorrito de Brandy', 'Sal', 'Pimienta negra recién molida', '200 ml de Nata para cocinar baja de grasa (o leche evaporada baja en grasas)', 'Salvia', '100 ml de Vino de Oporto', '2 Chalotas picadas', 'Nueces (unas nueces cortadas por la mitad)', '2 Manzanas en taquitos', '2 cs de Mantequilla', '80 g de Nueces enteras'];['Mezclamos todos los ingredientes del relleno en un bol. Sazonamos cono sal y pimienta y reservamos.', 'Ponemos una pechuga de pollo sobre la encimera. Ponemos en el centro una bola del relleno y doblamos la pechuga formando una bola. Ponemos una loncha de panceta alrededor envolviendo la pechuga. Repetimos con todas las pechugas.', 'Pasamos un cordel de arriba abajo y atamos la pechuga. Luego pasamos otro cordel formando una cruz con el primero. Y terminamos con un tercero formando una estrella', 'Calentamos el horno a 200ºC.', 'Ponemos las pechugas en una cacerola apta para el horno poniendo unas hojas de laurel y rociamos con un poco de aceite. Horneamos durante unos 20 minutos.', 'Sacamos y vertemos el jerez y el caldo.', 'Cubrimos con papel de aluminio y asamos durante unos 20 minutos más hasta que el centro de las pechugas tengan unos 70 grados en el centro (usaremos un termómetro con sonda si queremos exactitud pero con estos tiempos deben quedar perfectas).', 'Una vez estén las pechugas listas, las sacamos del horno y las pasamos a un plato.', 'Ponemos la cacerola (donde se han cocinado las pechugas) al fuego y reducimos la salsa de las pechugas. Movemos con una cuchara de madera y dejamos hervir a fuego suave.', 'En un cazo salteamos las chalotas con un poco de aceite. Añadimos la nata y el vino y unas hojas de salvia, y dejamos hervir hasta que la salsa esté espese.', 'Añadimos entonces las nueces cortadas por la mitad y dos cacitos de la salsa de las pechugas y damos un hervor.', 'Devolvemos las pechugas de pavo a la cazuela y dejamos cocinar durante unos minutos.', 'Mientras, cortamos las manzanas en taquitos y las salteamos en la mantequilla.', 'Servimos las pechugas con las manzanas y las nueces.'];aves
Rollitos de pollo rellenos de ciruelas y mozzarella;https://images.hola.com/imagenes/cocina/recetas/20221107220468/rollitos-de-pollo-rellenos-de-ciruelas-y-mozzarella/1-161-403/rollitos-de-pollo-ciruelas-c.jpg;4 COMENSALES;45min;Medio;['8 Filetes de pollo', '8 lonchas de Bacón', '100 g de Queso mozzarella mini', '600 g de Ciruelas rojas', '1 Cebolla', '1 diente de Ajo', '200 ml de Caldo de pollo', 'Tomillo fresco', 'Aceite de oliva virgen extra', 'Pimienta blanca', 'Sal'];['Lavar las ciruelas, partirlas por la mitad, eliminar el hueso y cortarlas en cuartos. Reservar una parte para la salsa.', 'Extender los filetes de pollo, salpimientar y colocar en el centro 2 o 3 bolitas de mozzarella mini y dos trozos de ciruela.', 'Enrollar a lo largo y envolver con una loncha de bacón. Traspasar con un palillo para que no se abran.', 'Picar la cebolla y el ajo muy finos.', 'Preparar una cazuela con 4 cucharadas de aceite de oliva. Dorar los rollitos por ambos lados. Sacar de la cazuela, eliminar el palillo y reservar.', 'En la misma cazuela, pochar la cebolla y el ajo hasta que la cebolla esté transparente.', 'Incorporar las ciruelas restantes y cocinar durante 10 minutos a fuego medio-fuerte.', 'Regar con el caldo de pollo, hervir durante 5 minutos y rectificar el punto de sal.', 'Colocar los rollitos de pollo en la cazuela, moverla para que el guiso se integre y colocar unas ramas de tomillo fresco encima.'];aves
Ensalada de magret de pato, naranja y manzana;https://images.hola.com/imagenes/cocina/recetas/20221104220351/ensalada-magret-pato-naranja/1-160-575/magret-ensal-age-c.jpg;4 COMENSALES;20min;Fácil;['1 Pechuga de pato', '1 Manzana Fuji', '2 Naranjas', '1 Pepino', '1 manojo de Cilantro', 'Sal', 'Pimienta'];['Dorar la pechuga de pato en una sartén a fuego vivo por el lado de la grasa durante 6 min. Darle la vuelta y cocinarla 4 min más.', 'Retirarla de la sartén, cortarla en filetes de 5 mm de grosor, salarlos y reservarlos.', 'Retirar las puntas al pepino y cortarlo en tiras longitudinales.', 'Lavar la manzana, descorazonarla y cortarla en láminas finas.', 'Pelar una naranja a lo vivo y cortarla en gajos retirando todas las pieles blancas.', 'Exprimir la naranja restante.', 'Lavar y secar las ramitas de cilantro.', 'Repartir las tiras de pepino, los gajos de naranja, las láminas de manzana, los filetitos de pato y las ramitas de cilantro.', 'Aliñar con  el zumo de naranja, pimienta y servir enseguida.'];aves
Pollo guisado con verduras;https://images.hola.com/imagenes/cocina/recetas/20221011218882/pollo-guisado-con-verduras/1-150-571/pollo-guisado-con-verduras-c.jpg;4 COMENSALES;1h 10min;Fácil;['1 Pollo troceado', '1 Pimiento amarillo', '1 Pimiento rojo', '2 guindillas rojas', 'Tomillo fresco', '1 Berenjena pequeña', '1 Cebolla pequeña', '1 diente de Ajo', 'Aceite de oliva virgen extra', 'Pimienta blanca', 'Sal'];['Salpimientar el pollo. Saltearlo en una cazuela con 4 cucharadas de aceite de oliva hasta dorarlo ligeramente.', 'Trocear los pimientos, eliminar las pepitas y el pedúnculo. Cortar la berenjena en dados, y el ajo y la cebolla en trozos muy finos.', 'Sin sacar el pollo de la cazuela, añadir la cebolla y el ajo y dejar que se poche durante 10 minutos o hasta que la cebolla esté transparente.', 'Incorporar la berenjena, los pimientos y las guindillas enteras. Remover y saltear durante 5 minutos.', 'Regar con 150 mililitros de agua y sumergir unas ramas de tomillo. Añadir un poco de sal, tapar la cazuela y dejar cocinar durante 45 minutos o hasta que el pollo esté tierno.', 'Probar, rectificar el punto de sal y pimienta y servir.'];aves
Pollo a la mostaza con ajo y patatas;https://images.hola.com/imagenes/cocina/recetas/20220912216938/pollo-a-la-mostaza-con-ajo-y-patatas/1-136-401/pollo-a-la-mostaza-con-ajo-y-patatas-c.jpg;4 COMENSALES;50min;Fácil;['1 kilogramo de Pollo troceado, pueden ser solo muslos y contramuslos', '60 g de Mostaza de Dijon', '2 cs de Semillas de mostaza', '1 Cebolla', '1 Cabeza de ajos', '100 ml de Brandy', '250 ml de Vino blanco', '8 Patatas de guarnición', '2 hojas de Kale', '2 Cebolletas tiernas', '60 g de Guisantes frescos', 'Aceite de oliva virgen extra', 'Sal', 'Pimienta negra'];['Para hacer este pollo a la mostaza con ajo y patatas comenzaremos por limpiar bien los trozos de pollo. Para que el guiso resulte más ligero, retiramos la piel y restos de grasilla. Salpimentamos generosamente los trozos de pollo.', 'Pintamos los trozos de pollo con mostaza de Dijón y añadimos después por encima las semillas de mostaza.', 'Por otro lado, pelamos la cebolla y la picamos en dados menudos.', 'La cabeza de ajo la partimos por la mitad, de forma longitudinal, sin separar los dientes.', 'Acercamos nuestra cocotte al fuego, también puedes usar una cacerola siempre y cuando sea apta para meterla en el horno y no tenga ninguna pieza, de las asas o la tapa con plástico o algún otro material no apto por el horno.', 'Ponemos un chorrito de aceite de oliva virgen extra y, cuando tenga temperatura, ponemos los trozos de pollo. Los doramos por todos los lados a fuego vivo. A medida que vaya estando bien dorado, y ya no se pegue al fondo de la cazuela, sacamos el pollo a un plato parte.', 'En ese mismo aceite, ya a fuego suave, pochamos la cebolla y colocamos los dos trozos de ajo. Cocinamos durante 7 minutos, hasta que la cebolla comience a ablandarse y transparentar.', 'Añadimos las patatas de guarnición lavadas y sin pelar y cocinamos durante un par de minutos.', 'Incorporamos el brandy y el vino blanco y subimos el fuego para que se evapore el alcohol. Volvemos a colocar los trozos de pollo dentro de la olla.', 'Metemos la cocotte tapada dentro del horno, que ya debe estar precalentado a 190°C y cocinamos durante una hora.', 'Casi al final, limpiamos las verduras frescas que tenemos reservadas: las hojas de kale, las cebolletas tiernas y los granos de guisantes y blanqueamos. Es decir, llevamos un cazo con agua a ebullición. Cuando rompe a hervir introducimos las verduras y cocemos apenas un minuto. Pasado ese tiempo, las sacamos y pasamos a un bol con agua fría y hielo.', 'Sacamos la cocotte del horno, abrimos la tapa, colocamos las verduras por encima, cerramos la tapa y dejamos reposar el pollo así durante cinco minutos antes de servir.'];aves
Pollo al horno con naranja y verduras de otoño;https://images.hola.com/imagenes/cocina/recetas/20220912216939/pollo-al-horno-con-naranja-y-verduras-de-otono/1-136-402/pollo-al-horno-con-frutas-y-verduras-c.jpg;4 COMENSALES;55min;Fácil;['1 kilogramo de Pollo troceado (muslos y contramuslos)', '4 Dientes de ajo', '1 Cebolla morada', '1 puñado de Tomillo', '2 Naranjas', '200 g de Calabaza', '100 g de Zanahorias baby', '1 cucharada de Miel', '200 ml de Brandy', '3 ramitas de Romero', 'Aceite de oliva virgen extra', 'Sal', 'Pimienta negra'];['Para hacer este pollo al horno con frutas y verduras vamos a comenzar preparando la mise en place, es decir, preparar todos los ingredientes que pondremos en la fuente del horno junto al pollo. En primer lugar, machaca en el mortero los ajos pelados junto a un pellizco de sal hasta reducirlos a una pasta. Añade al mortero tomillo y un buen chorro de aceite de oliva y mezcla bien con la ayuda de una cucharilla.', 'Pela la cebolla morada y pícala en juliana, es decir, en tiritas finas.', 'Lava las naranjas y pártelas en trozos. Lo ideal es partirla por la mitad y cada mitad en cuatro trozos.', 'Lava la calabaza y pártela en rodaja finas. Puedes pelarla o dejarla sin pelar, como prefieras. Lava las zanahorias baby y raspa ligeramente su superficie, pero deja un poco de su tallo.', 'Riega con un hilito de aceite de oliva virgen extra el fondo de la fuente de horno que vayas a usar y coloca por encima la cebolla picada.', 'Ahora que ya lo tienes todo listo, comienza a preparar el pollo. Limpia los trozos de restos de pielecillas o grasilla. Salpimiéntalo generosamente.', 'Unta cada trozo de pollo con la pasta de ajo que has preparado y ve colocando los trozos de pollo en la fuente, por encima de la cebolla.', 'Acomoda entre los trozos de pollo los trozos de naranja, los de calabaza y las zanahorias baby.', 'Ahora, coloca una gotita de miel sobre cada trozo de pollo… no queremos una receta dulce, de modo que solo debes poner una pizca, un guisante de miel en cada trozo, no más.', 'Coloca unas ramas de romero por encima y riega con el brandy.', 'Mete en el horno, que ya debe estar precalentado a 180°C y hornea durante 40 minutos. Pasado ese tiempo, sube la temperatura a 220°C, con calor arriba y abajo y cocina cinco o diez minutos más, para que la superficie se tueste bien, vigilando con cuidado para que no se queme. Si a lo largo de la cocción la fuente se quedara seca, se puede añadir un poco de agua.'];aves
Empanadas de pavo y verduras;https://images.hola.com/imagenes/cocina/recetas/20220816215315/empanadas-de-pavo-y-verduras/1-125-997/empanadas-pavo-verduras-c.jpg;4 COMENSALES;1h 0min;Medio;['300 g de Harina de trigo', '30 ml de Aceite de oliva', '150 ml de Agua', '1 pizca de Sal', '300 g de Filetes de pavo', '150 g de Pimiento verde italiano', '1 Tomate maduro', '1 diente de Ajo', '100 g de Guisantes congelados', 'Sal', 'Pimienta negra', '1 Huevo'];['Calentar el agua, la sal y el aceite en un cazo evitando que hierva.', 'Poner la harina tamizada en un bol, añadir el contenido del cazo y mezclar con una cuchara hasta que se integre por completo.', 'Espolvorear la mesa con harina. Amasar con las manos hasta que la masa está lisa y suave.', 'Dejar reposar durante 15 minutos tapada con un paño.', 'Cortar porciones de masa, hacer bolitas, amasar y estirar con un rodillo hasta conseguir un disco de 10 cm de diámetro.', 'Pelar el tomate, trocear en dados y dejar escurrir durante 10 minutos.', 'Picar el pimiento y el ajo en trozos finos.', 'Trocear la carne de pavo en trozos muy pequeños.', 'Escurrir los guisantes descongelados.', 'Calentar una sartén con aceite de oliva. Salpimientar la carne y saltearla durante 5 minutos a fuego fuerte.', 'Añadir las verduras y seguir cocinando hasta que están tiernas.', 'Poner una porción de la farsa de pavo en cada disco de masa. Cerrar y sellar los bordes.', 'Colocar las empanadas en una bandeja de horno con papel de cocina y pincelar con huevo batido.', 'Cocinar en el horno precalentado a 180º durante 25 minutos o hasta que se doren.'];aves
