nombre;precio_original;precio_actual;imagen
LA ESPAÑOLA aceite de oliva suave botella 1 lt;7,95 €;6,36 €;https://s2.dia.es/medias/productimages/ha8/h70/10676496629790.jpg
SELECCIÓN DE DIA filete de cinta de lomo marinado bandeja 300 gr;2,49 €;1,99 €;https://s2.dia.es/medias/productimages/hc6/he4/11246463451166.jpg
MAHOU cerveza clásica pack 12 latas 33 cl;8,28 €;6,75 €;https://s3.dia.es/medias/productimages/he1/h03/11334171918366.jpg
DANONE ACTIVIA bífidus cremoso de frutas silvestres 0% pack 4 unidades 120 gr;2,69 €;2,39 €;https://s3.dia.es/medias/h58/h72/10165555298334.jpg
DANONE ACTIVIA bífidus cremoso de mango 0% M.G pack 4 unidades 120 gr;2,69 €;2,39 €;https://s2.dia.es/medias/hc1/h11/10165556281374.jpg
DANONE ACTIVIA bífidus fibras con avena y nueces pack 4 unidades 115 gr;3,19 €;2,39 €;https://s0.dia.es/medias/productimages/h43/h60/11373811138590.jpg
DIA MARI MARINERA filetes de abadejo de Alaska bolsa 850 gr;7,89 €;6,31 €;https://s0.dia.es/medias/productimages/h64/hbc/10780817752094.jpg
AQUARIUS bebida refrescante de naranja botella 1.5 lt;1,95 €;1,75 €;https://s2.dia.es/medias/productimages/h9a/h6b/11368527396894.jpg
AQUARIUS bebida refrescante de naranja zero botella 1.5 lt;1,95 €;1,75 €;https://s0.dia.es/medias/productimages/h48/hfd/11364510072862.jpg
AQUARIUS bebida refrescante de limón zero botella 1.5 lt;1,95 €;1,75 €;https://s2.dia.es/medias/productimages/hd5/h3f/11364512366622.jpg
LA PIARA paté de atún lata 2 x 75 gr;3,99 €;2,95 €;https://s0.dia.es/medias/productimages/h30/h3c/10725506940958.jpg
CONSORCIO bonito del norte en aceite de oliva frasco 260 gr;9,35 €;6,55 €;https://s3.dia.es/medias/productimages/hf9/h6e/11228516319262.jpg
SELECCIÓN DE DIA solomillo de pollo bandeja (peso aprox. 500 gr);4,50 €;3,60 €;https://s2.dia.es/medias/h48/ha0/10612575404062.jpg
DIA MARI MARINERA medallones de merluza del cabo MSC bolsa 475 gr;3,59 €;2,87 €;https://s3.dia.es/medias/productimages/h38/h86/10807426220062.jpg
DIA MARI MARINERA varitas de merluza MSC caja 300 gr;2,09 €;1,67 €;https://s1.dia.es/medias/productimages/h77/hb1/11350634659870.jpg
