nombre;precio_original;precio_actual;imagen;url
BUITONI Forno di pietra pizza jamón y queso caja 360 gr;4,39 €;3,73 €;https://s0.dia.es/medias/productimages/hf4/h68/11398681133086.jpg;https://www.dia.es/compra-online/congelados/pizzas-bases-y-masas/p/108029
DIA HOLA COLA refresco de cola botella 2 lt;0,95 €;0,75 €;https://s1.dia.es/medias/productimages/h1b/h34/10689557757982.jpg;https://www.dia.es/compra-online/bebidas/refrescos/p/10065
TANQUERAY ginebra london dry botella 70 cl;16,99 €;15,99 €;https://s1.dia.es/medias/h21/hb3/11108506533918.jpg;https://www.dia.es/compra-online/bodega/alcoholes/ginebra/p/102932
CARBONELL aceite de oliva suave botella 1 lt;8,30 €;5,99 €;https://s0.dia.es/medias/h77/haa/11360644333598.jpg;https://www.dia.es/compra-online/despensa/aceites-vinagres-y-alinos/aceites/p/100
PASSPORT whisky botella 70 cl;11,79 €;10,79 €;https://s0.dia.es/medias/h7d/h53/11220196294686.jpg;https://www.dia.es/compra-online/bodega/alcoholes/whisky/p/114427
DIA LACTEA queso fundido light 16 porciones caja 250 gr;1,68 €;1,34 €;https://s0.dia.es/medias/productimages/h21/h91/10976978862110.jpg;https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/quesos/p/116857
Mandarina malla 1 Kg;2,59 €;1,99 €;https://s0.dia.es/medias/productimages/h88/hbd/10855515488286.jpg;https://www.dia.es/compra-online/frescos/frutas/citricos/p/11464
BARILLA salsa pesto alla genovese frasco 190 gr;3,50 €;2,18 €;https://s0.dia.es/medias/productimages/h46/hab/11377417355294.jpg;https://www.dia.es/compra-online/despensa/salsas/mayonesa-y-otras-salsas/p/118433
M&M's cacahuete bolsa 200 gr;2,99 €;2,39 €;https://s1.dia.es/medias/productimages/h9d/h0b/11217031561246.jpg;https://www.dia.es/compra-online/despensa/desayunos-y-dulces/chocolates-y-bombones/p/11951
PULEVA leche omega 3 con nueces envase 1 lt;1,95 €;1,79 €;https://s3.dia.es/medias/productimages/h2d/h56/11383385686046.jpg;https://www.dia.es/compra-online/despensa/lacteos-y-huevos/leche/p/121677
DIA HOLA COLA refresco de cola zero botella 2 lt;0,85 €;0,65 €;https://s0.dia.es/medias/h16/hb8/10563620175902.jpg;https://www.dia.es/compra-online/bebidas/refrescos/p/130617
VETERANO brandy botella 1 lt;9,25 €;8,75 €;https://s1.dia.es/medias/h7a/hf8/10658499723294.jpg;https://www.dia.es/compra-online/bodega/alcoholes/brandy/p/129569
DESPERADOS cerveza con tequila botella 33 cl;1,58 €;1,29 €;https://s2.dia.es/medias/productimages/hf9/h3f/11236050960414.jpg;https://www.dia.es/compra-online/bebidas/cervezas/especiales/p/135217
RUAVIEJA licor de crema de orujo botella 70 cl;12,79 €;11,50 €;https://s0.dia.es/medias/hca/hbf/11380799799326.jpg;https://www.dia.es/compra-online/bodega/licores/cremas/p/137105
ARLUY mini galletas con sabor a chocolate paquete 500 gr;4,79 €;3,83 €;https://s2.dia.es/medias/productimages/h14/h75/11101494312990.jpg;https://www.dia.es/compra-online/despensa/desayunos-y-dulces/galletas/p/144782
AQUARIUS bebida refrescante de limón zero lata 33 cl;0,85 €;0,80 €;https://s0.dia.es/medias/productimages/he0/hed/11397235179550.jpg;https://www.dia.es/compra-online/bebidas/bebidas-isotonicas-y-energeticas/p/145040
BUITONI Forno di pietra pizza caprese caja 350 gr;4,39 €;3,73 €;https://s0.dia.es/medias/productimages/h73/h34/11380840824862.jpg;https://www.dia.es/compra-online/congelados/pizzas-bases-y-masas/p/140496
ASTURIANA leche entera envase 1 lt;1,14 €;1,12 €;https://s1.dia.es/medias/productimages/hdd/h22/11373864288286.jpg;https://www.dia.es/compra-online/despensa/lacteos-y-huevos/leche/p/16065
ASTURIANA leche desnatada envase 1 lt;1,14 €;1,12 €;https://s3.dia.es/medias/productimages/h35/hce/11373861994526.jpg;https://www.dia.es/compra-online/despensa/lacteos-y-huevos/leche/p/16066
BUITONI Forno di pietra pizza 4 quesos caja 340 gr;4,39 €;3,73 €;https://s2.dia.es/medias/productimages/h69/h3f/11380840497182.jpg;https://www.dia.es/compra-online/congelados/pizzas-bases-y-masas/p/158333
BARILLA espagueti nº 5 paquete 500 gr;1,99 €;1,32 €;https://s1.dia.es/medias/productimages/had/h80/11361842626590.jpg;https://www.dia.es/compra-online/despensa/pastas-harinas-y-masas/pastas/p/16567
