titulo;price;price_less;url_img;url
Pechuga de pollo fileteada 1,4 kg aprox;10,99 EUR;9,79 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/961475_00_1.jpg;https://www.carrefour.es/supermercado/pechuga-de-pollo-fileteada-1-4-kg-aprox-carrefour/R-827513089/p?prtId=cat20002
Calabacín Carrefour a granel 1,2 kg aprox;2,39 EUR;2,03 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/431967_00_1.jpg;https://www.carrefour.es/supermercado/calabacin-carrefour-a-granel-1-2-kg-aprox-carrefour/R-VC4AECOMM-431967/p?prtId=cat20002
Plátano Carrefour 1 kg aprox;2,39 EUR;2,03 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/779025_00_1.jpg;https://www.carrefour.es/supermercado/platano-carrefour-1-kg-aprox-carrefour/R-VC4AECOMM-779025/p?prtId=cat20002
Dorada de ración Carrefour 600 g aprox;4,65 EUR;4,61 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/033389_00_1.jpg;https://www.carrefour.es/supermercado/dorada-de-racion-carrefour-600-g-aprox-carrefour/R-628108203/p?prtId=cat20002
Mandarina malla 1,5 kg;3,59 EUR;2,48 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/691281_00_1.jpg;https://www.carrefour.es/supermercado/mandarina-malla-1-5-kg/R-575401793/p?prtId=cat20002
Naranja de mesa Carrefour 1 Kg aprox;1,49 EUR;1,39 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/494114_00_1.jpg;https://www.carrefour.es/supermercado/naranja-de-mesa-carrefour-1-kg-aprox-carrefour/R-VC4AECOMM-494114/p?prtId=cat20002
Chuletas de Pavo Marinadas al Ajillo Carrefour 450 g aprox;3,15 EUR;3,10 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/268792_00_1.jpg;https://www.carrefour.es/supermercado/chuletas-de-pavo-marinadas-al-ajillo-carrefour-450-g-aprox-carrefour/R-prod780286/p?prtId=cat20002
Manzana granny smith Carrefour a granel 1 kg aprox;1,80 EUR;1,59 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/094469_00_1.jpg;https://www.carrefour.es/supermercado/manzana-granny-smith-carrefour-a-granel-1-kg-aprox-carrefour/R-VC4AECOMM-094469/p?prtId=cat20002
Jamoncitos de pollo Carrefour 1,2 kg aprox;5,34 EUR;4,79 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/962349_00_1.jpg;https://www.carrefour.es/supermercado/jamoncitos-de-pollo-carrefour-1-2-kg-aprox-carrefour/R-830700192/p?prtId=cat20002
Costilla de Cerdo Semicarnuda Carrefour 700 g aprox;4,41 EUR;4,19 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/006822_00_1.jpg;https://www.carrefour.es/supermercado/costilla-de-cerdo-semicarnuda-carrefour-700-g-aprox-el-mercado/R-VC4AECOMM-006822/p?prtId=cat20002
