nombreOferta;precioActual;precioAnterior;imagenOferta;urlOferta;categoria
Pechuga de pollo fileteada 1,4 kg aprox;10.85;9.79;https://static.carrefour.es/hd_280x_/img_pim_food/961475_00_1.jpg;https://www.carrefour.es/supermercado/pechuga-de-pollo-fileteada-1-4-kg-aprox-carrefour/R-827513089/p?prtId=cat20002;1
Fresón tarrina 500 g;1.15;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/035923_00_1.jpg;https://www.carrefour.es/supermercado/freson-tarrina-500-g/R-521032196/p?prtId=cat20002;1
Calabacín Carrefour a granel 1,2 kg aprox;2.27;1.55;https://static.carrefour.es/hd_280x_/img_pim_food/431967_00_1.jpg;https://www.carrefour.es/supermercado/calabacin-carrefour-a-granel-1-2-kg-aprox-carrefour/R-VC4AECOMM-431967/p?prtId=cat20002;1
Cebolla Carrefour 1 kg;2.19;2.09;https://static.carrefour.es/hd_280x_/img_pim_food/235457_00_1.jpg;https://www.carrefour.es/supermercado/cebolla-carrefour-1-kg-carrefour/R-521032276/p?prtId=cat20002;1
Brócoli Carrefour a granel 500 g aprox;1.32;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/241502_00_1.jpg;https://www.carrefour.es/supermercado/brocoli-carrefour-a-granel-500-g-aprox-carrefour/R-fprod1270119/p?prtId=cat20002;1
Queso rallado cuatro quesos Carrefour sin gluten 200 g.;2.29;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/712501_00_1.jpg;https://www.carrefour.es/supermercado/queso-rallado-cuatro-quesos-carrefour-sin-gluten-200-g-carrefour/R-521030772/p?prtId=cat20002;1
Dorada de ración Carrefour 600 g aprox;4.65;4.55;https://static.carrefour.es/hd_280x_/img_pim_food/033389_00_1.jpg;https://www.carrefour.es/supermercado/dorada-de-racion-carrefour-600-g-aprox-carrefour/R-628108203/p?prtId=cat20002;1
Pechuga de pavo fileteada Carrefour 600 g aprox;5.21;5.15;https://static.carrefour.es/hd_280x_/img_pim_food/039636_00_1.jpg;https://www.carrefour.es/supermercado/pechuga-de-pavo-fileteada-carrefour-600-g-aprox-carrefour/R-prod920182/p?prtId=cat20002;1
Kiwi Círculo de Calidad a granel 1 kg aprox;2.99;2.75;https://static.carrefour.es/hd_280x_/img_pim_food/855254_00_1.jpg;https://www.carrefour.es/supermercado/kiwi-circulo-de-calidad-a-granel-1-kg-aprox-circulo-de-calidad/R-prod730834/p?prtId=cat20002;1
Boquerones 1 kg aprox;5.50;4.49;https://static.carrefour.es/hd_280x_/img_pim_food/150842_00_1.jpg;https://www.carrefour.es/supermercado/boquerones-1-kg-aprox/R-628108274/p?prtId=cat20002;1
Trasero de Pollo Carrefour 1,5 kg aprox;4.78;4.48;https://static.carrefour.es/hd_280x_/img_pim_food/961472_00_1.jpg;https://www.carrefour.es/supermercado/trasero-de-pollo-carrefour-1-5-kg-aprox-carrefour/R-827513085/p?prtId=cat20002;1
Piña golden ripe 2,5 Kg aprox;2.97;2.87;https://static.carrefour.es/hd_280x_/img_pim_food/181242_00_1.jpg;https://www.carrefour.es/supermercado/pina-golden-ripe-2-5-kg-aprox/R-521032201/p?prtId=cat20002;1
Paté de hígado de cerdo Classic Carrefour pack de 4 unidades de 78 g.;2.19;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/695605_00_1.jpg;https://www.carrefour.es/supermercado/pate-de-higado-de-cerdo-classic-carrefour-pack-de-4-unidades-de-78-g-carrefour/R-521006577/p?prtId=cat20002;1
Alas de pollo partidas Carrefour 550 g aprox;2.60;2.34;https://static.carrefour.es/hd_280x_/img_pim_food/062836_00_1.jpg;https://www.carrefour.es/supermercado/alas-de-pollo-partidas-carrefour-550-g-aprox-carrefour/R-VC4AECOMM-062836/p?prtId=cat20002;1
Costilla de Cerdo Semicarnuda Carrefour 700 g aprox;4.44;4.19;https://static.carrefour.es/hd_280x_/img_pim_food/006822_00_1.jpg;https://www.carrefour.es/supermercado/costilla-de-cerdo-semicarnuda-carrefour-700-g-aprox-el-mercado/R-VC4AECOMM-006822/p?prtId=cat20002;1
Queso fresco Original Burgo de Arias pack de 6 unidades de 72 g.;5.43;3.59;https://static.carrefour.es/hd_280x_/img_pim_food/523717_00_1.jpg;https://www.carrefour.es/supermercado/queso-fresco-original-burgo-de-arias-pack-de-6-unidades-de-72-g-burgo-de-arias/R-521030543/p?prtId=cat20002;1
Chuleta de Aguja de Cerdo Carrefour 700 g aprox;4.13;4.05;https://static.carrefour.es/hd_280x_/img_pim_food/417284_00_1.jpg;https://www.carrefour.es/supermercado/chuleta-de-aguja-de-cerdo-carrefour-700-g-aprox-carrefour/R-prod160067/p?prtId=cat20002;1
Manzana golden ecológica bandeja 4 ud 750 g;3.05;2.65;https://static.carrefour.es/hd_280x_/img_pim_food/281634_00_1.jpg;https://www.carrefour.es/supermercado/manzana-golden-ecologica-bandeja-4-ud-750-g/R-589705758/p?prtId=cat20002;1
Langostino cocido (30/40 ud) 500 g aprox;5.47;4.97;https://static.carrefour.es/hd_280x_/img_pim_food/391617_00_1.jpg;https://www.carrefour.es/supermercado/langostino-cocido-30-40-ud-500-g-aprox/R-530102403/p?prtId=cat20002;1
Corvina Círculo de Calidad 2 kg aprox;15.90;14.98;https://static.carrefour.es/hd_280x_/img_pim_food/320145_00_1.jpg;https://www.carrefour.es/supermercado/corvina-circulo-de-calidad-2-kg-aprox-circulo-de-calidad/R-fprod1260183/p?prtId=cat20002;1
Patata Lavada Carrefour 1 kg aprox;1.89;1.49;https://static.carrefour.es/hd_280x_/img_pim_food/572092_00_1.jpg;https://www.carrefour.es/supermercado/patata-lavada-carrefour-1-kg-aprox-carrefour/R-VC4AECOMM-572092/p?prtId=cat20002;1
Salmón ahumado noruego Extra Carrefour 200 g.;7.59;6.69;https://static.carrefour.es/hd_280x_/img_pim_food/069049_00_1.jpg;https://www.carrefour.es/supermercado/salmon-ahumado-noruego-extra-carrefour-200-g-carrefour/R-684504179/p?prtId=cat20002;1
Filete de Vacuno Carrefour El Mercado 500 g aprox;7.47;5.74;https://static.carrefour.es/hd_280x_/img_pim_food/133782_00_1.jpg;https://www.carrefour.es/supermercado/filete-de-vacuno-carrefour-el-mercado-500-g-aprox-el-mercado/R-VC4AECOMM-133782/p?prtId=cat20002;1
Tomate corazón de buey Carrefour a granel 1 Kg aprox.;3.69;2.99;https://static.carrefour.es/hd_280x_/img_pim_food/143144_00_1.jpg;https://www.carrefour.es/supermercado/tomate-corazon-de-buey-carrefour-a-granel-1-kg-aprox-carrefour/R-prod1090034/p?prtId=cat20002;1
Queso fresco desnatado Burgo de Arias pack de 6 unidades de 72 g.;5.43;3.59;https://static.carrefour.es/hd_280x_/img_pim_food/586812_00_1.jpg;https://www.carrefour.es/supermercado/queso-fresco-desnatado-burgo-de-arias-pack-de-6-unidades-de-72-g-burgo-de-arias/R-526501342/p?prtId=cat20002;1
Barra rustica mediana compra;0.72;0.69;https://static.carrefour.es/hd_280x_/img_pim_food/284464_00_1.jpg;https://www.carrefour.es/supermercado/barra-rustica-mediana-compra-carrefour/R-prod231309/p?prtId=cat20002;1
Picaña de Vacuno Carrefour El Mercado 500 g aprox;8.47;6.45;https://static.carrefour.es/hd_280x_/img_pim_food/133781_00_1.jpg;https://www.carrefour.es/supermercado/picana-de-vacuno-carrefour-el-mercado-500-g-aprox-el-mercado/R-VC4AECOMM-133781/p?prtId=cat20002;1
Pan integral 100 % ecológico con pipas de girasol Carrefour Bio 500 g;2.69;2.59;https://static.carrefour.es/hd_280x_/img_pim_food/155211_00_1.jpg;https://www.carrefour.es/supermercado/pan-integral-100-ecologico-con-pipas-de-girasol-carrefour-bio-500-g-carrefour-bio/R-prod1120098/p?prtId=cat20002;1
Queso fresco Burgo de Arias sin lactosa pack 3 unidades de 72 g.;3.19;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/055690_00_1.jpg;https://www.carrefour.es/supermercado/queso-fresco-burgo-de-arias-sin-lactosa-pack-3-unidades-de-72-g-burgo-de-arias/R-prod66479/p?prtId=cat20002;1
Queso fresco Protein Plus Burgo de Arias pack de 6 unidades de 70 g.;6.09;3.59;https://static.carrefour.es/hd_280x_/img_pim_food/166270_00_1.jpg;https://www.carrefour.es/supermercado/queso-fresco-protein-plus-burgo-de-arias-pack-de-6-unidades-de-70-g-burgo-de-arias/R-VC4AECOMM-166270/p?prtId=cat20002;1
Queso fresco Original Burgo de Arias pack de 3 unidades de 72 g.;2.89;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/020884_00_1.jpg;https://www.carrefour.es/supermercado/queso-fresco-original-burgo-de-arias-pack-de-3-unidades-de-72-g-burgo-de-arias/R-521030553/p?prtId=cat20002;1
Pera ercolina a granel 1 Kg aprox;2.99;2.59;https://static.carrefour.es/hd_280x_/img_pim_food/035770_00_1.jpg;https://www.carrefour.es/supermercado/pera-ercolina-a-granel-1-kg-aprox/R-542801602/p?prtId=cat20002;1
Queso fresco Original Burgo de Arias pack de 2 unidades de 230 g.;6.05;3.59;https://static.carrefour.es/hd_280x_/img_pim_food/197739_00_1.jpg;https://www.carrefour.es/supermercado/queso-fresco-original-burgo-de-arias-pack-de-2-unidades-de-230-g-burgo-de-arias/R-prod70591/p?prtId=cat20002;1
Colas de langostino al ajillo Aguinamar 105 g;3.55;3.20;https://static.carrefour.es/hd_280x_/img_pim_food/114810_00_1.jpg;https://www.carrefour.es/supermercado/colas-de-langostino-al-ajillo-aguinamar-105-g/R-533001742/p?prtId=cat20002;1
Queso fresco sin sal Burgo de Arias pack de 3 unidades de 72 g.;2.99;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/304853_00_1.jpg;https://www.carrefour.es/supermercado/queso-fresco-sin-sal-burgo-de-arias-pack-de-3-unidades-de-72-g-burgo-de-arias/R-521030561/p?prtId=cat20002;1
Salpicón de marisco 180 g;4.05;3.29;https://static.carrefour.es/hd_280x_/img_pim_food/453524_00_1.jpg;https://www.carrefour.es/supermercado/salpicon-de-marisco-180-g-carrefour/R-VC4AECOMM-453524/p?prtId=cat20002;1
Mejillones a la marinera en salsa de tomate Aguinamar 900 g;7.25;6.95;https://static.carrefour.es/hd_280x_/img_pim_food/879809_00_1.jpg;https://www.carrefour.es/supermercado/mejillones-a-la-marinera-en-salsa-de-tomate-aguinamar-900-g/R-787017814/p?prtId=cat20002;1
Mejillón fresco cocido en su jugo 900 g;7.25;6.95;https://static.carrefour.es/hd_280x_/img_pim_food/879796_00_1.jpg;https://www.carrefour.es/supermercado/mejillon-fresco-cocido-en-su-jugo-900-g/R-787017804/p?prtId=cat20002;1
Filetes de Lomo Bajo de Añojo Círculo de Calidad 500 g aprox;9.44;7.49;https://static.carrefour.es/hd_280x_/img_pim_food/390821_00_1.jpg;https://www.carrefour.es/supermercado/filetes-de-lomo-bajo-de-anojo-circulo-de-calidad-500-g-aprox-cyo/R-fprod1460210/p?prtId=cat20002;1
Entrecot/Lomo de añojo Calidad y Origen Carrefour 500 g aprox;8.30;7.49;https://static.carrefour.es/hd_280x_/img_pim_food/842661_00_1.jpg;https://www.carrefour.es/supermercado/entrecot-lomo-de-anojo-calidad-y-origen-carrefour-500-g-aprox-cyo/R-prod840026/p?prtId=cat20002;1
