titulo;imagen;comensales;duracion;dificultad;ingredientes;pasos;Categoria
Pulpo a la gallega;https://www.recetasonline.net/wp-content/uploads/2014/04/Pulpo-a-la-gallega.jpg;2;5m;;['1 pata de pulpo cocido', 'Pimentón dulce', 'Pimentón picante (opcional)', 'Aceite de oliva', 'Sal gruesa'];['Lo primero que tenemos que hacer para la elaboración de este pulpo a la gallega es bien cocer el pulpo o haberlo comprado ya cocido. Si lo queréis cocer os recomiendo seguir mi receta de pulpo cocido que podéis encontrar en la parte inferior.', 'Loncheamos la pata empezando por la parte más gruesa y llegando hasta el extremo como podéis ver en el vídeo.', 'Ponemos en un plato y añadimos el aceite de oliva, el pimentón dulce (si usáis también picante poned mitad y mitad) y por último la sal.', 'Ya tenemos nuestro pulpo a la gallega listo para llevar a la mesa y disfrutarlo.'];8
Patatas bravas auténticas;https://www.recetasonline.net/wp-content/uploads/2014/03/Patatas-bravas.jpg;2;30m;;['1 cebolla grande', '1 patata grande', '250 ml. de agua', '1 pastilla de caldo de carne', '1 cucharada de harina de trigo', '2 cucharadas de aceite de oliva', '1 cucharadita de pimentón picante', '1/2 cucharadita de comino molido', 'Pimienta negra (al gusto)', 'Sal'];"['Lo primero que tenemos que hacer para la elaboración de esta receta de patatas bravas es pelar y picar fino la cebolla.', 'Ponemos el aceite de oliva en una sartén y sofreímos la cebolla a fuego bajo hasta que la tengamos bien pochada, pero sin que llegue a coger color. Debe quedar medio transparente.', 'Añadimos la harina de trigo y removemos bien para que se integre con la cebolla. Seguidamente incorporamos el pimentón, como podéis ver en el vídeo, y el comino y la pimienta negra. También ponemos un poco de sal.', 'Añadimos el agua que tiene que estar bien caliente para que no nos baje la temperatura de la cebolla y sin dejar de remover cocinamos unos 10 minutos hasta que coja algo de consistencia.', 'Pasamos a un recipiente para triturarlo y dejar una salsa muy fina, sin tropezones. Reservamos y dejamos enfriar. La salsa está incluso mejo si la preparamos de un día para otro.', 'Mientras pelamos la patata y troceamos en cuadrados más bien grandes.', 'Freímos en aceite de oliva a media temperatura durante unos 15 minutos y subimos el fuego al máximo y cocinamos 5 minutos más para que cojan color antes de sacarlas.', 'Sacamos a papel absorbente para eliminar el exceso de aceite y añadimos un poco de sal.', 'Probamos la salsa de sal y si es necesario le ponemos un poco más. Calentamos la salsa; se puede hacer hasta en el microondas.', 'Colocamos nuestras patatas en un plato bonito y bañamos con la salsa por encima. No os preocupéis por la cantidad, seguro que no sobra nada de salsa 😉', 'Si os sobra salsa la podéis conservar refrigerada y tapada con papel film por espacio de 3 o 4 días sin problema.']";6
Mejillones al vapor;https://www.recetasonline.net/wp-content/uploads/2014/03/Mejillones-al-vapor.jpg;4;25m;;['1 kg. de mejillones', '50 ml. de vino blanco', '1 limón'];['Lo primero que tenemos que hacer es limpiar los mejillones por el exterior como podéis ver en el vídeo. ', 'Les damos un agua para que se limpien de los restos del raspado y ponemos en una cacerola lo suficientemente grande.', 'Ponemos el vino blanco a chorro y tapamos.', 'Dejamos cocinar a fuego suave y tapado por espacio de 15 minutos.', 'Ponemos en un plato y añadimos un poco de su caldo por encima antes de regar con el zumo del limón.'];6
Mejillones a la marinera;https://www.recetasonline.net/wp-content/uploads/2013/09/Mejillones-a-la-marinera.jpg;4;25m;;['2 kg. de mejillones frescos', '50 ml. de vino blanco', '200 ml. de salsa de tomate', '1 cebolla', '1 diente de ajo', 'Pimienta blanca'];['Lo primero que vamos a hacer es cocer los mejillones y para ello los ponemos después de limpiar las conchas de restos marinos en una cacerola lo suficientemente grande junto con el vino blanco y tapado a fuego suave.', 'Una vez que se hayan abierto todos los mejillones los sacamos y reservamos el caldo que nos quede en el fondo de la cacerola.', 'Mientras pelamos y picamos la cebolla y el ajo. Ponemos en una sartén con un poco de aceite de oliva y dejamos a fuego suave hasta que tengamos la cebolla bien pochada, es decir, casi transparente.', 'Añadimos sal y pimienta al gusto a la cebolla y añadimos la salsa de tomate y el caldo de cocer los mejillones.', 'Dejamos cocinar por espacio de unos 5 minutos antes de pasar la salsa por un pasapuré o batidora. Cocinamos 5 minutos más después.', 'De los mejillones cogemos solamente media concha y colocamos en una fuente y les añadimos la salsa por encima. Ya tenemos los mejillones a la marinera listos para llevar a la mesa.'];3
Patatas alioli rápidas;https://www.recetasonline.net/wp-content/uploads/2013/08/Patatas-alioli-rápidas.jpg;4;30m;;['4 patatas medianas', '4 cucharadas de salsa mayonesa', '1 diente de ajo', 'Perejil picado'];['Lo primero que tenemos que hacer para la elaboración d esta receta de cocina de patatas alioli rápidas es cocer las patatas en agua con sal hasta que las tengamos tiernas, que será en unos 20 a 30 minutos.', 'Pinchamos las patatas y si están tiernas las dejamos enfriar antes de seguir con la elaboración.', 'Pelamos y picamos muy fino el diente de ajo y mezclamos con la salsa mayonesa. En caso de que queráis preparar la salsa mayonesa en casa os dejo abajo el enlace.', 'Dejamos reposar la salsa mientras se enfrían las patatas. Una vez frías pelamos y troceamos las patatas y ponemos en una fuente.', 'Añadimos la salsa por encima y espolvoreamos con el perjil picado antes de servir.'];6
Ensaladilla rusa al estilo de Levante;https://www.recetasonline.net/wp-content/uploads/2013/07/Ensaladilla-rusa-al-estilo-de-Levante.jpg;6;30m;;['3 patatas pequeñas', '125 gr. de mayonesa', '125 gr. de variantes', '1 huevo cocido', '60 gr. de atún al natural'];['Lo primero que tenemos que hacer para la elaboración de esta receta de cocina es cocer las patatas en agua hirviendo hasta que estén tiernas. Lo comprobaremos pinchando con un cuchillo pero será aproximadamente unos 20 minutos dependiendo del tamaño de las patatas.', 'Cuando tengamos frías las patatas las pelamos y troceamos en cuadrados más o menos regulares. Añadimos el huevo cocido que también hemos picado.', 'Incorporamos la mayonesa, como unas cuatro cucharadas, y los variantes, que es una conserva de pepinillo y zanahoria en vinagre.', 'Por último ponemos el atún y removemos bien hasta que nos quede todo perfectamente repartido. Tapamos con papel film y dejamos enfriar antes de usar como aperitivo, entrante o guarnición de cualquier tipo de plato.'];7
Rollitos de paté;https://www.recetasonline.net/wp-content/uploads/2013/07/Rollitos-de-paté.jpg;4;Sin Informacion;;['Pan de molde', 'Paté al gusto'];['Lo primero que tenemos que hacer para la elaboración de esta receta de cocina de rollitos de paté es retirar los bordes del pan en el caso de que estemos usando pan de molde con bordes.', 'Con la ayuda de un rodillo aplastamos la superficie para que nos quede compacta.', 'Extendemos el paté al gusto de cada uno y enrollamos toda la superficie.', 'Cortamos por la mitad y a su vez en otras dos mitades y presentamos como si de rollitos de sushi se trataran.'];8
Mini pizzas para aperitivo;https://www.recetasonline.net/wp-content/uploads/2013/07/Mini-pizzas-rápidas.jpg;4;15m;;['Pan de molde', 'Salsa de tomate', 'Orégano', 'Queso parmesano'];['Lo primero que tenemos que hacer es quitar los bordes al pan de molde en caso de que hayamos usado este tipo de pan.', 'Continuamos aplastando con un rodillo de cocina la superficie, primero de un lado y luego del otro hasta que nos quede compactado.', 'Con ayuda de un corta pasta o aro de cocina sacamos las mini bases, que más o menos salen unas cuatro por cada rebanada.', 'Extendemos la salsa de tomate, ponemos un poco de orégano y acabamos poniendo el queso por encima.', 'Horneamos a 180ºC durante entre 5 y 7 minutos o hasta que veáis que empieza a coger color.'];7
Piruletas de queso parmesano;https://www.recetasonline.net/wp-content/uploads/2013/07/Piruletas-de-queso-parmesano.jpg;12;15m;;['100 gr. de queso parmesano', 'Brochetas cortas'];['Para comenzar con esta receta de cocina rallamos el queso formando montoncitos encima de la bandeja del horno donde hemos puesto papel de hornear para que no se pegue.', 'Ponemos los palitos de brocheta que usaremos de las cortas para hacer más fácil el poder cogerlas. La parte del pincho debe quedar en la parte inferior y nos será útil por si queremos pinchar nuestras piruletas de parmesano en un fruta a modo de presentación.', 'Horneamos 5 minutos a 180ºC o hasta que veamos que los bordes se tuestan un poquito.', 'Dejamos enfriar antes de retirar de la bandeja del horno.'];7
Tortilla de patatas chip;https://www.recetasonline.net/wp-content/uploads/2013/06/Tortilla-de-patatas.jpg;2;45m;;['4 huevos', '75 gr. de patatas chip', 'Sal (opcional)'];['Lo primero que vamos a  hacer para la elaboración de esta receta de tortilla de patatas chip es batir los huevos menos uno y añadir las patatas para que se vayan rehidratando.', 'Lo vamos a dejar rehidratando por espacio de una media hora e iremos removiendo para que se impregne bien de huevo todas las patatas. Pasado este tiempo batimos el huevo restante y lo incorporamos.', 'En una sartén ponemos un chorro generoso de aceite y cuando esté bien caliente añadimos la mezcla y dejamos cuajar por un lado antes de proceder a dar la vuelta para que se cocine por el otro.'];7
